close, open, high, low, volume, atr14, psar, close_diff, ema_fast, ema_slow, ema_fast_diff, price_v_close, bar_time, position, alpha_imp1_ema_up, alpha_imp2_ema_pos_x, alpha_imp3_psar_up, alpha_imp4_close_up, alpha_imp6_price_v_close_thres, short_rev_imp1_rev_box, short_rev_imp2_ema_neg, short_rev_imp3_ema_neg_x, short_rev_imp4_close_neg, long_rev_imp1_rev_box, long_rev_imp2_ema_pos, long_rev_imp3_ema_pos_x, long_rev_imp4_close_pos, 
8.5800, 8.6000, 8.6600, 8.5800, 1936, 7.7514, 8.812091750, 0.000000000, 8.606478415, 8.643913919, -0.006619604, , 2019-08-14 16:00:00, FLAT, , , , , , , , , , , , , , , 
8.6600, 8.6600, 8.6600, 8.6600, 1717, 7.7514, 8.805449915, 0.080000000, 8.617182732, 8.645445927, 0.010704317, , 2019-08-14 16:03:00, FLAT, , , , , , , , , , , , , , , 
8.5500, 8.6200, 8.6200, 8.5000, 6180, 7.7514, 8.798940917, -0.110000000, 8.603746185, 8.636355839, -0.013436546, , 2019-08-15 09:33:00, FLAT, , , , , , , , , , , , , , , 
8.5500, 8.5500, 8.5500, 8.5500, 0, 7.7514, 8.792562098, 0.000000000, 8.592996948, 8.628131473, -0.010749237, , 2019-08-15 09:36:00, FLAT, , , , , , , , , , , , , , , 
8.5500, 8.5500, 8.5500, 8.5500, 200, 7.7514, 8.786310856, 0.000000000, 8.584397559, 8.620690380, -0.008599390, , 2019-08-15 09:39:00, FLAT, , , , , , , , , , , , , , , 
8.5000, 8.5300, 8.5300, 8.4500, 11919, 7.7514, 8.780184639, -0.050000000, 8.567518047, 8.609196058, -0.016879512, , 2019-08-15 09:42:00, FLAT, , , , , , , , , , , , , , , 
8.8650, 8.5500, 8.8650, 8.5500, 400, 7.7514, 8.450000000, 0.365000000, 8.627014438, 8.633558339, 0.059496391, , 2019-08-15 09:45:00, FLAT, , , , , , , , , , , , , , , 
8.8650, 8.8650, 8.8650, 8.8650, 0, 7.7514, 8.450000000, 0.000000000, 8.674611550, 8.655600402, 0.047597112, , 2019-08-15 09:48:00, FLAT, , , , , , , , , , , , , , , 
8.5100, 8.5500, 8.5500, 8.5100, 13706, 7.7514, 8.454150000, -0.355000000, 8.641689240, 8.641733697, -0.032922310, , 2019-08-15 09:51:00, FLAT, , , , , , , , , , , , , , , 
8.5500, 8.5500, 8.5500, 8.5300, 2191, 7.7514, 8.458258500, 0.040000000, 8.623351392, 8.632997154, -0.018337848, , 2019-08-15 09:54:00, FLAT, , , , , , , , , , , , , , , 
8.5800, 8.5500, 8.7000, 8.5400, 7400, 7.7514, 8.462325915, 0.030000000, 8.614681114, 8.627949806, -0.008670278, , 2019-08-15 09:57:00, FLAT, , , , , , , , , , , , , , , 
